Name,Page size,Left,Horizontal Pitch,Width,Columns,Top,Vertial Pitch,Height,Rows
WHSmiths4x2,A4,4.65,101.6,99.1,2,13.1,67.7,67.7,4
RymanP8,A4,3.8,101.8,99.1,2,13.9,67.7,67.7,4
Ryman14,A4,3.8,101.8,99.1,2,16,38.1,38.1,7
